,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
0,10007.0,12.0,0.0,1.51,0.0,3.070814224273426,10007,99,10.0,7.0,14.0,-0.48754,0,7.016967977,93.89322639,POINT (93.89322639 7.016967977)
1,10033.0,15.0,0.0,4.62,5.0,3.9313610874606773,10033,110,11.0,9.0,15.0,-0.40171,0,13.25036479,93.00510452,POINT (93.00510452 13.25036479)
2,10040.0,7.0,0.0,1.03,0.0,2.036933970456578,10040,15,3.0,3.0,11.0,-0.06029,0,12.49419331,92.85843826,POINT (92.85843826 12.49419331)
3,10067.0,7.0,0.0,1.37,0.0,2.347999148211089,10067,400,29.0,12.0,56.0,-0.90324,0,12.88036424,92.89802605,POINT (92.89802605 12.88036424)
4,10077.0,0.0,0.0,0.0,0.0,0.0,10077,515,26.0,27.0,85.0,-0.69925,0,0.0,0.0,POINT (0 0)
5,10115.0,5.0,0.0,0.52,0.0,1.4864723340849637,10115,175,9.0,12.0,9.0,-0.84299,0,12.30809915,92.76462297,POINT (92.76462297 12.30809915)
6,10122.0,7.0,0.0,1.25,0.0,2.3254031908466968,10122,260,14.0,14.0,36.0,0.12572,0,12.02008839,92.96105596,POINT (92.96105596 12.02008839)
7,10127.0,0.0,0.0,0.0,0.0,0.0,10127,443,36.0,29.0,63.0,-0.54738,0,0.0,0.0,POINT (0 0)
8,10133.0,51.0,0.0,15.73,10.0,13.26111232137033,10133,735,45.0,42.0,106.0,0.08783,0,11.603357,92.742856,POINT (92.742856 11.603357)
9,10168.0,5.0,0.0,1.06,0.0,1.9535608513685983,10168,20,4.0,0.0,22.0,-0.86091,0,12.64846859,92.91330972,POINT (92.91330972 12.64846859)
10,10183.0,12.0,0.0,1.3,0.0,3.0380915061926625,10183,120,0.0,4.0,1.0,-1.39264,0,6.968333317999999,93.90444997,POINT (93.90444997 6.968333317999999)
11,10186.0,9.0,0.0,1.89,0.0,2.962752098978245,10186,30,3.0,3.0,0.0,-0.29366,0,12.471301,92.884686,POINT (92.884686 12.471301)
12,10189.0,5.0,0.0,1.12,0.0,2.006389792637512,10189,84,11.0,8.0,3.0,-0.84039,0,13.16324799,92.94383539,POINT (92.94383539 13.16324799)
13,10193.0,5.0,0.0,1.08,0.0,1.9883661634618512,10193,20,4.0,4.0,21.0,-0.11017,0,13.135487,92.938191,POINT (92.938191 13.135487)
14,10200.0,9.0,0.0,3.42,5.0,3.1533474277345332,10200,230,3.0,3.0,3.0,-1.56961,0,12.51534796,92.90910586,POINT (92.90910586 12.51534796)
15,10204.0,4.0,0.0,0.16,0.0,0.7838367176906171,10204,233,33.0,37.0,84.0,-0.78126,0,12.82488167,92.84743044,POINT (92.84743044 12.82488167)
16,10209.0,29.0,0.0,6.04,6.0,5.201768929892984,10209,120,4.0,4.0,8.0,-0.31757,0,11.58340756,92.66912193,POINT (92.66912193 11.58340756)
17,10213.0,6.0,0.0,2.01,0.0,2.5278251521812183,10213,60,3.0,3.0,3.0,-1.29054,0,10.73367614,92.57332702,POINT (92.57332702 10.73367614)
18,20016.0,17.0,7.0,10.25,9.0,2.8155816450602176,20016,2170,79.0,67.0,59.0,-0.01486,0,16.40391981,81.10906706,POINT (81.10906706 16.40391981)
19,20018.0,44.0,10.0,25.09,24.5,10.070844055986568,20018,975,53.0,53.0,12.0,1.27788,0,16.90336647,80.09956086,POINT (80.09956086 16.90336647)
20,20023.0,15.0,0.0,5.61,6.0,2.76005434729101,20023,930,86.0,86.0,70.0,-0.16765,1,14.35398874,77.65880458,POINT (77.65880458 14.35398874)
21,20028.0,28.0,7.0,14.55,13.0,5.448623679425842,20028,1390,76.0,72.0,119.0,0.44975,0,13.31069178,79.58857106,POINT (79.58857106 13.31069178)
22,20033.0,16.0,6.0,8.85,8.0,2.15580611373101,20033,1575,78.0,69.0,90.0,0.21542,2,17.14129526,81.38286354,POINT (81.38286354 17.14129526)
