Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude
10007,99,10.0,7.0,14.0,-0.48754,0,7.016967977,93.89322639
10033,110,11.0,9.0,15.0,-0.40171,0,13.25036479,93.00510452
10040,15,3.0,3.0,11.0,-0.06029,0,12.49419331,92.85843826
10067,400,29.0,12.0,56.0,-0.90324,0,12.88036424,92.89802605
10077,515,26.0,27.0,85.0,-0.69925,0,0.0,0.0
10115,175,9.0,12.0,9.0,-0.84299,0,12.30809915,92.76462297
10122,260,14.0,14.0,36.0,0.12572,0,12.02008839,92.96105596
10127,443,36.0,29.0,63.0,-0.54738,0,0.0,0.0
10133,735,45.0,42.0,106.0,0.08783,0,11.603357,92.742856
10168,20,4.0,0.0,22.0,-0.86091,0,12.64846859,92.91330972
10183,120,0.0,4.0,1.0,-1.39264,0,6.968333317999999,93.90444997
10186,30,3.0,3.0,0.0,-0.29366,0,12.471300999999999,92.884686
10189,84,11.0,8.0,3.0,-0.84039,0,13.16324799,92.94383539
10193,20,4.0,4.0,21.0,-0.11017,0,13.135487,92.938191
10200,230,3.0,3.0,3.0,-1.56961,0,12.51534796,92.90910586
10204,233,33.0,37.0,84.0,-0.78126,0,12.82488167,92.84743044
10209,120,4.0,4.0,8.0,-0.31757,0,11.58340756,92.66912193
10213,60,3.0,3.0,3.0,-1.29054,0,10.73367614,92.57332702
20016,2170,79.0,67.0,59.0,-0.01486,0,16.40391981,81.10906706
20018,975,53.0,53.0,12.0,1.27788,0,16.90336647,80.09956086
20023,930,86.0,86.0,70.0,-0.16765,1,14.35398874,77.65880458
20028,1390,76.0,72.0,119.0,0.44975,0,13.31069178,79.58857106
20033,1575,78.0,69.0,90.0,0.21542,2,17.14129526,81.38286354
20038,410,36.0,34.0,24.0,-0.29146,0,16.81507841,81.70508877
20041,1135,89.0,86.0,83.0,0.29579,0,14.4448358,79.53808293
20044,520,79.0,78.0,55.0,-0.45017,0,14.98599062,79.63876254
20049,1160,65.0,60.0,64.0,-0.12615,0,15.63463504,77.31001512
20050,195,32.0,32.0,18.0,0.9870699999999999,0,18.10829254,83.37940478
20058,1115,71.0,71.0,97.0,0.84649,1,16.64943337,80.97491964
20060,455,69.0,64.0,140.0,-0.24348,0,13.49090576,79.69664106
20068,20,4.0,4.0,3.0,1.53074,0,17.68286796,83.19354963
20071,935,71.0,69.0,54.0,0.27078,0,16.04212393,79.72970563
20078,1535,76.0,71.0,97.0,-0.17665,0,17.8737319,82.87066707
20102,435,37.0,36.0,66.0,-0.02979,0,14.54782621,79.91571262
20108,845,88.0,63.0,112.0,-0.71686,0,18.92001019,83.48021288
20138,1135,80.0,80.0,109.0,0.29321,0,15.69156314,78.51284401
20146,440,29.0,29.0,37.0,0.86577,0,14.48445704,79.99485813
20150,970,91.0,91.0,53.0,0.36803,0,15.13087893,79.99006673
20152,296,33.0,30.0,36.0,0.89415,1,16.72064919,81.11420021
20171,1075,90.0,67.0,169.0,-0.96637,0,19.06124419,83.67644325
20173,545,73.0,62.0,95.0,0.19528,1,15.82473823,78.04950603
20188,930,48.0,41.0,63.0,0.0933,0,15.63681545,77.29097318
20190,365,43.0,43.0,24.0,1.74684,0,13.61948129,79.42087298
20194,1165,73.0,73.0,69.0,0.10815,0,15.31256933,78.3905233
20195,1420,37.0,37.0,21.0,0.50809,0,13.28277545,79.64183375
20204,860,78.0,68.0,99.0,-0.018420000000000002,0,18.36228606,83.49275519
20216,175,10.0,10.0,22.0,0.5522750000000001,2,16.95253324,82.2299009
20220,1235,112.0,102.0,72.0,-0.47597,0,15.71761477,77.4427783
20229,210,22.0,18.0,5.0,0.56851,0,15.68942531,78.44164622
20231,1550,67.0,62.0,27.0,-0.24909,0,15.89608002,80.85609364
20246,1150,84.0,78.0,36.0,0.09703,2,16.09466275,79.96755654
20248,800,54.0,54.0,108.0,-0.27623,2,18.18508415,83.16702963
20260,760,86.0,85.0,155.0,0.50127,0,13.57368204,80.05505872
20270,415,45.0,37.0,100.0,0.02739,1,18.49357784,84.09034089
20280,505,50.0,44.0,20.0,0.60886,0,16.48900322,80.6137054
20293,835,89.0,89.0,115.0,-0.4148,0,15.29966243,77.24648525
20294,700,60.0,56.0,64.0,0.2398,0,13.55841343,79.53596814
20297,920,68.0,62.0,105.0,0.024909999999999995,0,17.9829613,83.48519378
20303,360,53.0,52.0,22.0,0.49839,0,15.79136807,79.27597572
20309,40,4.0,4.0,0.0,1.54655,0,16.51290653,80.65778159
20313,440,47.0,47.0,39.0,1.22757,0,17.00650716,81.78207737
20322,0,8.0,8.0,0.0,1.7592,0,16.54509423,80.64090296
20330,1000,86.0,84.0,152.0,0.52566,0,14.63880355,79.50947204
20348,595,48.0,50.0,96.0,-0.47831,0,18.42427511,83.82134529
20352,765,46.0,46.0,117.0,1.144505,0,17.76915107,83.32293291
20354,225,26.0,20.0,25.0,0.74212,0,18.30282933,83.90434883
20355,585,47.0,42.0,54.0,0.74307,0,18.50806971,83.20974758
20356,730,64.0,61.0,54.0,0.11516,0,15.00776575,77.33673249
20359,370,45.0,40.0,76.0,0.06533,0,16.67741312,81.96753186
